TOXCODE,toxic,lars,lcad,lchr,lcop,llead,lmerc,lnick,lsilv,lzinc,lacen,lacpt,lanth,lbaa,lban,lbap,lchry,lflan,lflen,lmeth,lnapt,lphen,lpyre
T,1,0.559615788,-2.040220829,,2.397895273,2.944438979,-3.506557897,2.397895273,-2.813410717,3.912023005,2.397895273,2.397895273,2.397895273,2.397895273,2.397895273,2.397895273,3.555348061,3.496507561,2.397895273,2.397895273,2.397895273,2.397895273,3.951243719
F,0,0.559615788,-2.659260037,,1.871802177,2.63905733,-2.659260037,2.197224577,-2.813410717,3.80666249,2.302585093,2.302585093,2.302585093,2.302585093,2.302585093,2.302585093,2.302585093,2.302585093,2.302585093,2.302585093,2.302585093,2.302585093,3.17805383
F,0,0.470003629,-2.407945609,,3.17805383,3.258096538,-2.813410717,2.944438979,-2.900422094,4.189654742,2.397895273,2.397895273,2.397895273,2.397895273,2.397895273,2.397895273,2.397895273,2.397895273,2.397895273,2.397895273,2.397895273,2.397895273,2.397895273
T,1,0.336472237,-2.207274913,,3.295836866,3.135494216,-2.813410717,3.044522438,-3.101092789,4.465908119,2.397895273,2.397895273,2.397895273,2.397895273,2.397895273,2.397895273,3.555348061,3.496507561,2.397895273,2.397895273,2.397895273,2.397895273,3.610917913
T,1,0.641853886,-2.995732274,,2.397895273,2.63905733,-2.525728644,2.174751721,-2.733368009,3.931825633,4.787491743,2.442347035,4.418840608,5.828945618,4.304065093,5.913503006,6.214608098,6.522092798,5.075173815,3.663561646,5.393627546,6.579251212,6.492239835
F,0,0.300104592,-2.525728644,,2.995732274,2.708050201,-2.995732274,3.091042453,-3.101092789,4.127134385,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799
F,0,0.371563556,-2.525728644,,2.944438979,2.890371758,-3.912023005,3.135494216,-2.995732274,4.110873864,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799
T,1,0.371563556,-2.525728644,,3.218875825,2.890371758,-3.218875825,2.995732274,-2.302585093,4.343805422,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799
T,1,0.559615788,-1.966112856,,3.091042453,3.583518938,-2.995732274,2.772588722,-2.120263536,4.143134726,2.442347035,2.442347035,2.442347035,3.258096538,2.442347035,2.442347035,3.737669618,3.988984047,2.442347035,2.442347035,2.442347035,3.33220451,4.787491743
T,1,0.300104592,-2.525728644,,2.890371758,2.772588722,-3.218875825,3.044522438,-0.223143551,4.189654742,2.197224577,2.197224577,2.197224577,2.197224577,2.197224577,2.197224577,2.197224577,2.197224577,2.197224577,2.197224577,2.197224577,2.197224577,2.197224577
F,0,0.693147181,-2.995732274,,3.044522438,2.944438979,-3.912023005,3.218875825,-2.733368009,4.406719247,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799
T,1,0.262364264,-2.302585093,,3.295836866,2.708050201,-2.995732274,2.995732274,-3.101092789,4.343805422,2.351375257,2.351375257,2.351375257,2.351375257,2.351375257,3.135494216,3.737669618,3.784189634,2.351375257,2.351375257,2.351375257,3.135494216,3.988984047
T,1,0.405465108,-2.207274913,,3.36729583,3.258096538,-2.659260037,2.944438979,-2.995732274,4.33073334,2.397895273,2.397895273,2.397895273,3.044522438,2.397895273,2.397895273,3.784189634,3.784189634,2.397895273,2.397895273,2.397895273,3.17805383,3.951243719
T,1,0.641853886,-2.207274913,,3.295836866,3.496507561,-2.813410717,3.044522438,-2.733368009,4.406719247,2.302585093,2.302585093,2.302585093,3.091042453,2.302585093,2.302585093,3.713572067,3.891820298,2.302585093,2.302585093,2.302585093,3.218875825,4.007333185
T,1,0.559615788,-2.659260037,,2.833213344,3.295836866,-3.218875825,3.091042453,-2.813410717,4.369447852,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799
