"FER","Additive","Copper"
1.3,0,0
1.35,0,0
1.44,0,0
1.52,0,0
1.56,0,0
1.61,0,400
1.48,0,400
1.56,0,400
1.45,0,400
1.14,0,400
2.17,20,0
2.11,20,0
2.08,20,0
2.13,20,0
2.22,20,0
2.29,20,400
2.33,20,400
2.24,20,400
2.16,20,400
2.21,20,400
2.3,40,0
2.34,40,0
2.2,40,0
2.38,40,0
2.48,40,0
2.44,40,400
2.37,40,400
2.43,40,400
2.37,40,400
2.41,40,400
2.47,60,0
2.51,60,0
2.79,60,0
2.4,60,0
2.55,60,0
2.67,60,400
2.5,60,400
2.55,60,400
2.6,60,400
2.49,60,400
3.31,80,0
3.17,80,0
3.24,80,0
3.21,80,0
3.35,80,0
3.38,80,400
3.42,80,400
3.36,80,400
3.25,80,400
3.51,80,400
4.92,100,0
3.87,100,0
4.81,100,0
4.88,100,0
5.06,100,0
5.09,100,400
4.97,100,400
4.95,100,400
4.59,100,400
4.76,100,400
