"Vocation","Gender","Accepted"
"Cosmetology","Female","No"
"Plumbing","Male","Yes"
"Welding","Male","No"
"Nursing","Female","No"
"Welding","Male","No"
"Plumbing","Male","Yes"
"Nursing","Male","No"
"Plumbing","Male","Yes"
"Plumbing","Female","Yes"
"Cosmetology","Female","No"
"Plumbing","Male","Yes"
"Welding","Male","Yes"
"Plumbing","Male","Yes"
"Plumbing","Male","No"
"Nursing","Male","Yes"
"Plumbing","Male","Yes"
"Nursing","Male","Yes"
"Nursing","Female","No"
"Plumbing","Male","Yes"
"Plumbing","Male","No"
"Cosmetology","Female","No"
"Nursing","Female","No"
"Plumbing","Female","Yes"
"Nursing","Female","No"
"Plumbing","Male","Yes"
"Cosmetology","Male","No"
"Welding","Male","Yes"
"Nursing","Female","No"
"Welding","Male","Yes"
"Cosmetology","Female","No"
"Welding","Male","Yes"
"Cosmetology","Female","No"
"Nursing","Male","No"
"Plumbing","Male","Yes"
"Plumbing","Male","No"
"Nursing","Female","Yes"
"Cosmetology","Female","No"
"Cosmetology","Female","No"
"Cosmetology","Female","No"
"Welding","Male","Yes"
"Welding","Male","No"
"Nursing","Male","Yes"
"Nursing","Male","No"
"Cosmetology","Male","No"
"Nursing","Male","Yes"
"Cosmetology","Female","No"
"Plumbing","Male","Yes"
"Welding","Male","No"
"Welding","Male","Yes"
"Cosmetology","Female","No"
"Plumbing","Male","No"
"Nursing","Female","No"
"Nursing","Female","No"
"Nursing","Female","No"
"Plumbing","Male","Yes"
"Plumbing","Male","No"
"Plumbing","Male","Yes"
"Welding","Male","No"
"Welding","Male","Yes"
"Nursing","Female","No"
"Plumbing","Male","No"
"Plumbing","Male","Yes"
"Cosmetology","Female","No"
"Welding","Male","Yes"
"Nursing","Female","No"
"Cosmetology","Female","No"
"Plumbing","Male","Yes"
"Nursing","Male","No"
"Cosmetology","Female","No"
"Welding","Male","Yes"
"Nursing","Male","No"
"Welding","Male","Yes"
"Plumbing","Male","No"
"Welding","Male","Yes"
"Nursing","Female","No"
"Plumbing","Male","No"
"Plumbing","Male","Yes"
"Plumbing","Female","Yes"
"Nursing","Female","No"
"Cosmetology","Male","No"
"Nursing","Female","No"
"Nursing","Male","No"
"Welding","Male","Yes"
"Welding","Male","Yes"
"Nursing","Male","No"
"Plumbing","Male","Yes"
"Plumbing","Male","No"
"Nursing","Male","No"
"Welding","Male","Yes"
"Plumbing","Male","Yes"
"Nursing","Male","Yes"
"Welding","Male","Yes"
"Plumbing","Male","Yes"
"Plumbing","Male","Yes"
"Plumbing","Male","Yes"
"Nursing","Male","Yes"
"Plumbing","Male","Yes"
"Welding","Male","No"
"Plumbing","Male","No"
"Plumbing","Male","Yes"
"Nursing","Female","No"
"Nursing","Male","No"
"Nursing","Female","No"
"Welding","Male","Yes"
"Plumbing","Male","Yes"
"Nursing","Male","No"
"Nursing","Female","Yes"
"Nursing","Male","No"
"Plumbing","Male","No"
"Cosmetology","Male","No"
"Nursing","Female","No"
"Cosmetology","Female","No"
"Plumbing","Female","Yes"
"Nursing","Male","Yes"
"Nursing","Female","Yes"
"Cosmetology","Male","No"
"Welding","Male","Yes"
"Plumbing","Female","Yes"
"Welding","Male","No"
"Welding","Male","No"
"Cosmetology","Male","No"
"Cosmetology","Female","No"
"Welding","Male","Yes"
"Plumbing","Male","Yes"
"Welding","Male","Yes"
"Plumbing","Male","Yes"
"Nursing","Male","No"
"Plumbing","Male","Yes"
"Welding","Male","Yes"
"Plumbing","Male","Yes"
"Cosmetology","Male","No"
"Welding","Male","Yes"
"Cosmetology","Female","No"
"Cosmetology","Male","No"
"Cosmetology","Female","No"
"Nursing","Male","No"
"Plumbing","Male","Yes"
"Nursing","Female","No"
"Cosmetology","Male","No"
"Plumbing","Male","Yes"
"Welding","Male","Yes"
"Cosmetology","Male","No"
"Plumbing","Male","No"
"Welding","Male","Yes"
